video_no,video_id,url,title,topic,subtopic,metric,rank,keyword,score,embedding_raw,embedding_norm,vlm_rrf_norm,vlm_rank
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,1,Powers of i,0.650338,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,2,Center of mass of a 1D object,0.60269,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,3,Modulus of a complex number,0.593071,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,4,Area of a region between two or more curves,0.587742,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_raw,5,Volume of a solid of revolution,0.53922,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,1,Powers of i,0.861748,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,2,Area of a region between two or more curves,0.825197,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,3,Center of mass of a 1D object,0.814571,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,4,Powers of complex numbers,0.78574,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_raw,5,Volume of a solid of revolution,0.782016,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,1,Powers of i,1.0,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,2,Center of mass of a 1D object,0.944311,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,3,Area of a region between two or more curves,0.937111,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,4,Modulus of a complex number,0.894318,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_raw,5,Volume of a solid of revolution,0.882364,,,,
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,1,Powers of i,1.0,0.650338,1.0,1.0,1
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,2,Powers of complex numbers,0.87767,0.486367,0.747868,0.983871,2
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,3,Imaginary part,0.813546,0.406109,0.624458,0.968254,3
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,4,Operations with complex numbers,0.77439,0.361547,0.555937,0.953125,4
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_vlm_hybrid,5,Nth root,0.773208,0.371493,0.571231,0.938462,5
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,1,Powers of i,1.0,0.861748,1.0,1.0,1
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,2,Powers of complex numbers,0.963498,0.78574,0.938598,0.983871,2
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,3,Operations with complex numbers,0.915701,0.700776,0.86996,0.953125,4
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,4,Imaginary part,0.898892,0.63165,0.814117,0.968254,3
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,glove_vlm_hybrid,5,Nth root,0.711092,0.160122,0.433197,0.938462,5
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_vlm_hybrid,1,Powers of i,1.0,1.0,1.0,1.0,1
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_vlm_hybrid,2,Powers of complex numbers,0.915935,0.843233,0.832902,0.983871,2
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_vlm_hybrid,3,Imaginary part,0.847895,0.719288,0.700789,0.968254,3
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_vlm_hybrid,4,Operations with complex numbers,0.836533,0.712949,0.694032,0.953125,4
1,KTNcYYHuBTY,https://www.youtube.com/watch?v=KTNcYYHuBTY,Powers of the Imaginary Unit i,Complex Numbers,Complex Powers and Roots,word2vec_glove_vlm_hybrid,5,Nth root,0.727388,0.502214,0.469409,0.938462,5
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,1,Modulus of a complex number,0.696437,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,2,Area of a region between two or more curves,0.632062,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,3,Equations involving complex numbers,0.604825,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,4,Center of mass of a 1D object,0.600447,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_raw,5,Powers of complex numbers,0.575399,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,1,Area of a region between two or more curves,0.849348,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,2,Regions in the complex plane,0.821402,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,3,Powers of complex numbers,0.818325,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,4,Modulus of a complex number,0.80922,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_raw,5,Operations with complex numbers,0.797158,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,1,Modulus of a complex number,0.983091,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,2,Area of a region between two or more curves,0.953783,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,3,Center of mass of a 1D object,0.908467,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,4,Powers of complex numbers,0.90003,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_raw,5,Equations involving complex numbers,0.859321,,,,
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_vlm_hybrid,1,Operations with complex numbers,0.876096,0.504678,0.724657,1.0,1
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_vlm_hybrid,2,Imaginary part,0.796246,0.394828,0.566926,0.983871,2
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_vlm_hybrid,3,Conjugate number,0.779042,0.381496,0.547782,0.968254,3
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_vlm_hybrid,4,Real part,0.760498,0.365674,0.525064,0.953125,4
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_vlm_hybrid,5,Argand diagram,0.751321,0.363954,0.522594,0.938462,5
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_vlm_hybrid,1,Operations with complex numbers,0.980208,0.797158,0.956017,1.0,1
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_vlm_hybrid,2,Real part,0.942254,0.76506,0.928967,0.953125,4
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_vlm_hybrid,3,Imaginary part,0.894832,0.595424,0.786007,0.983871,2
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_vlm_hybrid,4,Conjugate number,0.810067,0.394555,0.616727,0.968254,3
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,glove_vlm_hybrid,5,Argand diagram,0.620795,-0.061327,0.232535,0.938462,5
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_vlm_hybrid,1,Operations with complex numbers,0.928763,0.840337,0.841695,1.0,1
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_vlm_hybrid,2,Real part,0.846431,0.727015,0.716028,0.953125,4
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_vlm_hybrid,3,Imaginary part,0.838117,0.676467,0.659974,0.983871,2
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_vlm_hybrid,4,Conjugate number,0.782514,0.582255,0.555499,0.968254,3
2,BZxZ_eEuJBM,https://www.youtube.com/watch?v=BZxZ_eEuJBM,Complex Conjugates,Complex Numbers,Complex Arithmetic,word2vec_glove_vlm_hybrid,5,Argand diagram,0.663984,0.377565,0.328511,0.938462,5
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_raw,1,Modulus of a complex number,0.593463,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_raw,2,Powers of complex numbers,0.581108,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_raw,3,Area of a region between two or more curves,0.563827,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_raw,4,Equations involving complex numbers,0.55742,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_raw,5,Center of mass of a 1D object,0.549217,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_raw,1,Area of a region between two or more curves,0.844011,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_raw,2,Regions in the complex plane,0.808934,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_raw,3,Powers of complex numbers,0.804712,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_raw,4,Operations with complex numbers,0.793577,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_raw,5,Center of mass of a 1D object,0.790791,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,1,Area of a region between two or more curves,0.975031,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,2,Powers of complex numbers,0.973597,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,3,Modulus of a complex number,0.962194,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,4,Center of mass of a 1D object,0.941063,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,5,Operations with complex numbers,0.925775,,,,
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,1,Operations with complex numbers,0.9428,0.529726,0.892602,0.983871,2
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,2,Imaginary part,0.877997,0.432564,0.728881,1.0,1
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,3,Powers of i,0.841349,0.418234,0.704735,0.953125,4
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,4,Real part,0.820479,0.401346,0.676278,0.938462,5
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,5,Complex plane,0.777183,0.322637,0.543651,0.968254,3
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,1,Operations with complex numbers,0.972656,0.793577,0.958949,0.983871,2
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,2,Real part,0.945683,0.788123,0.95451,0.938462,5
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,3,Powers of i,0.94178,0.755447,0.927913,0.953125,4
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,4,Imaginary part,0.925942,0.64182,0.835427,1.0,1
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,5,Complex plane,0.894978,0.604952,0.805418,0.968254,3
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_vlm_hybrid,1,Operations with complex numbers,0.96692,0.925775,0.946201,0.983871,2
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_vlm_hybrid,2,Imaginary part,0.9052,0.782154,0.789334,1.0,1
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_vlm_hybrid,3,Powers of i,0.896214,0.816324,0.826655,0.953125,4
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_vlm_hybrid,4,Real part,0.887692,0.815394,0.825639,0.938462,5
3,kpywdu1afas,https://www.youtube.com/watch?v=kpywdu1afas,Introduction to Complex Numbers,Complex Numbers,Complex Plane and Loci,word2vec_glove_vlm_hybrid,5,Complex plane,0.834845,0.674535,0.671789,0.968254,3
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_raw,1,Regions in the complex plane,0.635967,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_raw,2,Area of a region between two or more curves,0.59917,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_raw,3,Equations involving complex numbers,0.570702,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_raw,4,Powers of complex numbers,0.569925,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_raw,5,Modulus of a complex number,0.559844,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_raw,1,Regions in the complex plane,0.874873,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_raw,2,Area of a region between two or more curves,0.855102,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_raw,3,Powers of complex numbers,0.807974,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_raw,4,Operations with complex numbers,0.790991,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_raw,5,Real part,0.745461,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,1,Regions in the complex plane,1.0,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,2,Area of a region between two or more curves,0.96306,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,3,Powers of complex numbers,0.920973,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,4,Modulus of a complex number,0.884046,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_glove_raw,5,Operations with complex numbers,0.878964,,,,
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,1,Regions in the complex plane,1.0,0.635967,1.0,1.0,1
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,2,Complex plane,0.792893,0.355808,0.559476,0.983871,2
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,3,Imaginary part,0.778573,0.347709,0.546741,0.968254,3
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,4,Real part,0.763725,0.338485,0.532237,0.953125,4
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,word2vec_vlm_hybrid,5,Rectangular form (Standard form),0.692451,0.249154,0.391772,0.938462,5
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,1,Regions in the complex plane,1.0,0.874873,1.0,1.0,1
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,2,Real part,0.92703,0.745461,0.895137,0.953125,4
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,3,Complex plane,0.910269,0.653117,0.82031,0.983871,2
4,KeYfQ8Em9BU,https://www.youtube.com/watch?v=KeYfQ8Em9BU,Regions in the complex plane,Complex Numbers,Complex Plane and Loci,glove_vlm_hybrid,4,Imaginary part,0.877223,0.586046,0.765962,0.968254,3
